date,COD_mod
2025-03-31,2374
2025-03-31,2375
2025-03-31,2376
2025-04-01,568
2025-04-01,569
2025-04-01,570
2025-04-01,571
2025-04-01,572
2025-04-01,573
2025-04-01,574
2025-04-01,576
2025-04-01,577
2025-04-01,578
2025-04-01,1765
2025-04-01,1767
2025-04-01,1768
2025-04-01,1769
2025-04-01,1770
2025-04-01,1774
2025-04-01,1778
2025-04-02,578
2025-04-02,754
2025-04-02,755
2025-04-02,756
2025-04-02,1768
2025-04-02,1770
2025-04-02,1771
2025-04-02,1772
2025-04-02,1782
2025-04-02,1784
2025-04-02,1785
2025-04-03,625
2025-04-03,626
2025-04-03,627
2025-04-03,628
2025-04-03,629
2025-04-03,633
2025-04-03,634
2025-04-03,635
2025-04-03,641
2025-04-03,683
2025-04-03,684
2025-04-03,685
2025-04-03,731
2025-04-03,732
2025-04-03,733
2025-04-03,734
2025-04-03,735
2025-04-03,736
2025-04-03,737
2025-04-03,751
2025-04-03,887
2025-04-03,888
2025-04-03,890
2025-04-03,891
2025-04-03,892
2025-04-03,893
2025-04-07,2332
2025-04-07,2333
2025-04-07,2334
2025-04-07,2335
2025-04-07,2336
2025-04-08,65
2025-04-08,66
2025-04-08,79
2025-04-08,83
2025-04-08,84
2025-04-08,86
2025-04-08,87
2025-04-08,751
2025-04-08,891
2025-04-08,2360
2025-04-11,607
2025-04-11,617
2025-04-11,618
2025-04-11,719
2025-04-11,720
2025-04-11,721
2025-04-11,722
2025-04-11,723
2025-04-11,734
2025-04-11,735
2025-04-11,737
2025-04-11,751
2025-04-11,753
2025-04-11,754
2025-04-11,755
2025-04-11,834
2025-04-11,887
2025-04-11,888
2025-04-11,889
2025-04-11,890
2025-04-11,891
2025-04-11,892
2025-04-11,893
2025-04-12,58
2025-04-12,61
2025-04-12,62
2025-04-12,64
2025-04-12,65
2025-04-12,78
2025-04-12,79
2025-04-12,83
2025-04-12,87
2025-04-12,665
2025-04-12,668
2025-04-12,2311
2025-04-12,2313
2025-04-12,2314
2025-04-12,2315
2025-04-12,2316
2025-04-12,2317
2025-04-12,2322
2025-04-24,568
2025-04-24,569
2025-04-24,570
2025-04-24,571
2025-04-24,572
2025-04-24,573
2025-04-24,574
2025-04-24,575
2025-04-24,576
2025-04-24,577
2025-04-24,578
2025-04-24,756
2025-04-24,1765
2025-04-24,1767
2025-04-24,1768
2025-04-24,1769
2025-04-24,1770
2025-04-24,1771
2025-04-24,1774
2025-04-24,1778
2025-04-25,321
2025-04-25,617
2025-04-25,618
2025-04-25,619
2025-04-25,622
2025-04-25,623
2025-04-25,632
2025-04-25,634
2025-04-25,635
2025-04-25,686
2025-04-25,730
2025-04-25,731
2025-04-25,732
2025-04-25,733
2025-04-25,734
2025-04-25,735
2025-04-25,736
2025-04-25,737
2025-04-25,887
2025-04-25,888
2025-05-13,754
2025-05-13,755
2025-05-13,1770
2025-05-13,1771
2025-05-13,1772
2025-05-13,1782
2025-05-13,1783
2025-05-13,1784
2025-05-13,1785
2025-05-13,1786
2025-05-13,1787
2025-05-13,1788
2025-05-13,1789
2025-05-13,1790
2025-05-13,1791
2025-05-13,1792
2025-05-13,1793
2025-05-13,1794
2025-05-13,1796
2025-05-13,1808
2025-05-13,1809
2025-05-13,1811
2025-05-14,250
2025-05-14,755
2025-05-14,756
2025-05-14,969
2025-05-14,974
2025-05-14,1738
2025-05-14,1739
2025-05-14,1768
2025-05-14,1769
2025-05-14,1770
2025-05-14,1771
2025-05-14,1772
2025-05-14,1782
2025-05-14,1784
2025-05-14,1785
2025-05-15,37
2025-05-15,39
2025-05-15,125
2025-05-15,126
2025-05-15,127
2025-05-15,131
2025-05-15,2250
2025-05-15,2260
2025-05-15,2270
2025-05-15,2280
2025-05-18,126
2025-05-18,127
2025-05-18,129
2025-05-18,130
2025-05-18,131
2025-05-18,2352
2025-05-18,2353
2025-05-18,2354
2025-05-18,2355
2025-05-19,36
2025-05-19,37
2025-05-19,38
2025-05-19,39
2025-05-19,40
2025-05-19,41
2025-05-19,42
2025-05-19,43
2025-05-19,44
2025-05-19,45
2025-05-19,46
2025-05-19,47
2025-05-19,48
2025-05-19,49
2025-05-19,50
2025-05-19,51
2025-05-19,52
2025-05-19,53
2025-05-19,54
2025-05-19,55
2025-05-19,56
2025-05-19,57
2025-05-19,58
2025-05-19,59
2025-05-19,60
2025-05-19,61
2025-05-19,62
2025-05-19,63
2025-05-19,64
2025-05-19,67
2025-05-19,68
2025-05-19,69
2025-05-19,70
2025-05-19,71
2025-05-19,72
2025-05-19,73
2025-05-19,74
2025-05-19,75
2025-05-19,76
2025-05-19,77
2025-05-19,78
2025-05-19,99
2025-05-19,100
2025-05-19,101
2025-05-19,102
2025-05-19,103
2025-05-19,104
2025-05-19,105
2025-05-19,106
2025-05-19,107
2025-05-19,108
2025-05-19,114
2025-05-19,115
2025-05-19,116
2025-05-19,117
2025-05-19,118
2025-05-19,121
2025-05-19,122
2025-05-19,123
2025-05-19,124
2025-05-19,125
2025-05-19,126
2025-05-19,127
2025-05-19,131
2025-05-19,212
2025-05-19,213
2025-05-19,214
2025-05-19,215
2025-05-19,216
2025-05-19,217
2025-05-19,218
2025-05-19,219
2025-05-19,220
2025-05-19,221
2025-05-19,222
2025-05-19,223
2025-05-19,224
2025-05-19,225
2025-05-19,231
2025-05-19,232
2025-05-19,233
2025-05-19,234
2025-05-19,235
2025-05-19,236
2025-05-19,237
2025-05-19,238
2025-05-19,239
2025-05-19,240
2025-05-19,241
2025-05-19,242
2025-05-19,243
2025-05-19,244
2025-05-19,245
2025-05-19,246
2025-05-19,247
2025-05-19,248
2025-05-19,249
2025-05-19,250
2025-05-19,251
2025-05-19,252
2025-05-19,253
2025-05-19,254
2025-05-19,255
2025-05-19,256
2025-05-19,260
2025-05-19,2250
2025-05-19,2260
2025-05-19,2270
2025-05-19,2280
2025-05-19,2352
2025-05-19,2353
2025-05-19,2354
2025-05-19,2355
2025-05-20,755
2025-05-20,756
2025-05-20,961
2025-05-20,962
2025-05-20,96
